1717744025310,1,2768.04,0,0
1717744026311,1,2768.04,0,0
1717744027311,1,2803.02,86.98,3.24
1717744028313,1,2768.04,0,0
1717744029313,1,2768.04,0,0
1717744030313,1,2801.7,83.29,103.57
1717744031314,1,2768.04,0,-0.02
1717744032313,1,2768.04,0,0
1717744033314,1,2799.06,77.98001,149.88
1717744034314,1,2768.04,0,-0.02
1717744035315,1,2768.04,0,0
1717744036316,1,2791.14,71.99,149.75
1717744037317,1,2768.04,0,-0.02
1717744038318,1,2768.04,0,0
1717744039319,1,2802.36,86.22,43.93
1717744040320,1,2768.04,0,0
1717744041321,1,2768.04,0,0
1717744042321,1,2799.06,77.98001,149.82
1717744043321,1,2768.04,0,-0.02
1717744044322,1,2768.04,0,0
1717744045323,1,2803.02,86.99,0.1
1717744046323,1,2768.04,0,0.02
1717744047324,1,2768.04,0,0
1717744048324,1,2803.02,86.22,43.89
1717744049325,1,2768.04,0,-0.02
1717744050326,1,2768.04,0,0
1717744051327,1,2799.72,77.98001,149.82
1717744052327,1,2768.04,0,0
1717744053326,1,2768.04,0,0
1717744054328,1,2803.68,86.98,-6.33
1717744055330,1,2768.04,0,0
1717744056330,1,2768.04,0,0
1717744057330,1,2802.36,86.22,43.95
1717744058333,1,2768.04,0,-0.02
1717744059332,1,2768.04,0,0
1717744060333,1,2799.72,80.91001,134.51
1717744061333,1,2768.04,0,0.04
1717744062334,1,2768.04,0,0
1717744063334,1,2772.66,86.51,-38.93
1717744064335,1,2768.04,0,0
1717744065335,1,2768.04,0,0
1717744066337,1,2803.02,86.22,43.96
1717744067337,1,2768.04,0,0
1717744068337,1,2768.04,0,0
1717744069337,1,2799.06,77.98001,149.77
1717744070339,1,2768.04,0,0
1717744071339,1,2768.04,0,0
1717744072340,1,2803.68,86.98,-6.29
1717744073340,1,2768.04,0,0.02
1717744074340,1,2768.04,0,0
1717744075342,1,2802.36,86.22,43.96
1717744076343,1,2768.04,0,-0.02
1717744077343,1,2768.04,0,0
1717744078342,1,2799.72,80.91001,134.43
1717744079343,1,2768.04,0,0
1717744080344,1,2768.04,0,0
1717744081345,1,2803.68,86.98,-6.33
1717744082347,1,2768.04,0,0.02
1717744083348,1,2768.04,0,0
1717744084349,1,2803.02,86.22,43.98
1717744085349,1,2768.04,0,0
1717744086350,1,2768.04,0,0
1717744087350,1,2799.72,80.91001,134.53
1717744088351,1,2768.04,0,0
1717744089352,1,2768.04,0,0
1717744090353,1,2803.02,86.99,0.1
1717744091354,1,2768.04,0,0
1717744092355,1,2768.04,0,0
1717744093355,1,2801.04,85.05,73.26
1717744094356,1,2768.04,0,-0.02
1717744095356,1,2767.38,0,0
1717744096355,1,2799.06,77.98001,149.73
1717744174936,1,2768.04,0,0
1717744175937,1,2768.04,0,0
